24-0000016301,02-0000203139,,20191210,20191210,201378.1452,552877.2598,신흥트래픽,,1,2,1,4332422,1,2019-0101-058,24-016301,21029,,1
24-0000012325,02-0000016410,180,20161202,20161202,212830.398,543382.7242,,,1,1,1,6163323,1,2016-1701-007,24-012325,17053,1,1
24-0000009270,02-0000144775,180,,,192908.5986,558203.8751,,,1,1,1,2462491,1,,24-009270,13998,1,
24-0000010318,02-0000151391,180,20140528,20140528,193603.9116,543371.283,,,1,2,1,2173824,1,,24-010318,15046,1,6
24-0000004043,02-0000021825,180,20071105,20071105,192872.75,541445.8812,,,1,2,1,2069331,1,2010-1101-153,24-004043,2509,1,1
24-0000005662,02-0000158406,180,20091106,20091106,192572.3821,550594.9163,한국전기교통,0,4,1,1,,1,2010-0101-067,24-005662,11764,1,2
24-0000019716,02-0000132583,,20220927,20220927,201873.8085,556853.0109,태경엔지니어링,,1,2,1,4440321,1,2022-0101-033,24-019716,24444,,1
24-0000001950,02-0000006085,180,20180901,20200306,194267.3881,550479.5694,대한신호,,1,2,1,2297142,1,2020-0101-005,24-001950,679,1,2
24-0000008363,02-0000158060,45,20120706,20120706,202708.8279,552555.4215,삼일안전시스템,0,1,2,1,4361064,1,2012-0101-030,24-008363,11709,1,1
24-0000003702,02-0000137962,180,20070601,20160510,191443.7,537904.575,대한신호,,1,2,1,2032532,1,2016-0101-027,24-003702,10943,1,2
24-0000006454,02-0000162687,180,20100621,20171115,193306.45,550387.0812,한길,0,1,2,1,22772210,1,2017-0101-011,24-006454,12317,1,2
24-0000009367,02-0000131348,180,20000101,20000101,203859.5961,540714.8108,,,1,1,1,4087391,1,,24-009367,14095,1,
24-0000009118,02-0000176567,180,20130618,20130618,202992,555687.5687,,,1,2,1,4367682,1,2012-0401-008,24-009118,13846,1,4
24-0000001739,02-0000077993,180,20220927,20220927,205390.2375,556367.5062,태경엔지니어링,,1,2,1,5319429,1,2022-0101-033,24-001739,6356,1,1
24-0000001691,02-0000071336,180,20070601,20070601,202064.223,552065.8222, , ,1,2,1, ,1,2000-0000-000,24-001691,5910,1, 
24-0000009785,02-0000178300,180,20131207,20131207,205393.6375,553145.1062,(주)한길에이치씨,,6,2,1,5312472,1,2013-1801-007,24-009785,14513,1,1
24-0000005663,02-0000158409,180,20091106,20100411,192538.0461,550623.5528,한길에이치씨,,1,2,1,2257776,1,2010-0111-003,24-005663,11765,1,2
